InvoiceLineID,InvoiceID,StockItemID,Description,Quantity,UnitPrice,LineProfit,ExtendedPrice
1,1,67,Ride on toy sedan car (Black) 1/12 scale,10,230.00,850.00,2645.00
2,2,50,Developer joke mug - old C developers never die (White),9,13.00,76.50,134.55
3,2,10,USB food flash drive - chocolate bar,9,32.00,180.00,331.20
4,3,114,Superhero action jacket (Blue) XXL,3,30.00,24.00,103.50
5,4,206,Permanent marker black 5mm nib (Black) 5mm,96,2.70,96.00,298.08
6,4,130,Furry gorilla with big eyes slippers (Black) S,5,32.00,120.00,184.00
7,4,50,Developer joke mug - old C developers never die (White),2,13.00,17.00,29.90
8,5,128,Plush shark slippers (Gray) L,4,32.00,96.00,147.20
9,5,121,Dinosaur battery-powered slippers (Green) XL,3,32.00,70.50,110.40
10,5,155,Large sized bubblewrap roll 50m,20,24.00,220.00,552.00
11,6,150,Pack of 12 action figures (variety),4,16.00,42.00,73.60
12,6,40,"Developer joke mug - (hip, hip, array) (White)",6,13.00,51.00,89.70
13,6,126,Plush shark slippers (Gray) S,9,32.00,216.00,331.20
14,7,39,Developer joke mug - inheritance is the OO way to become wealthy (Black),9,13.00,76.50,134.55
15,7,184,Shipping carton (Brown) 305x305x305mm,75,3.50,120.00,301.88
16,7,9,USB food flash drive - banana,6,32.00,120.00,220.80
17,7,132,Furry gorilla with big eyes slippers (Black) L,1,32.00,24.00,36.80
18,8,9,USB food flash drive - banana,4,32.00,80.00,147.20
19,8,32,Developer joke mug - that's a hardware problem (White),9,13.00,76.50,134.55
20,8,50,Developer joke mug - old C developers never die (White),1,13.00,8.50,14.95
21,9,58,RC toy sedan car with remote control (Black) 1/50 scale,2,25.00,25.00,57.50
22,9,134,Animal with big feet slippers (Brown) S,4,32.00,96.00,147.20
23,10,38,Developer joke mug - inheritance is the OO way to become wealthy (White),5,13.00,42.50,74.75
24,10,34,Developer joke mug - fun was unexpected at this time (White),3,13.00,25.50,44.85
25,11,45,Developer joke mug - there are 10 types of people in the world (Black),1,13.00,8.50,14.95
26,12,62,RC toy sedan car with remote control (Yellow) 1/50 scale,5,25.00,62.50,143.75
27,12,44,Developer joke mug - there are 10 types of people in the world (White),8,13.00,68.00,119.60
28,13,156,10 mm Double sided bubble wrap 10m,10,15.00,75.00,172.50
29,13,73,Ride on vintage American toy coupe (Red) 1/12 scale,8,285.00,1040.00,2622.00
30,14,111,Superhero action jacket (Blue) M,4,30.00,32.00,138.00
31,14,163,32 mm Double sided bubble wrap 20m,10,37.00,230.00,425.50
32,14,132,Furry gorilla with big eyes slippers (Black) L,5,32.00,120.00,184.00
33,15,108,Superhero action jacket (Blue) XXS,6,25.00,36.00,172.50
34,15,210,Packing knife with metal insert blade (Yellow) 18mm,10,2.40,12.00,27.60
35,16,115,Superhero action jacket (Blue) 3XL,2,34.00,20.00,78.20
36,17,133,Furry gorilla with big eyes slippers (Black) XL,10,32.00,235.00,368.00
37,17,47,Developer joke mug - a foo walks into a bar (Black),8,13.00,68.00,119.60
38,18,22,DBA joke mug - it depends (White),7,13.00,59.50,104.65
39,19,15,USB food flash drive - dessert 10 drive variety pack,8,240.00,1212.00,2208.00
40,19,75,Ride on big wheel monster truck (Black) 1/12 scale,1,345.00,140.00,396.75
41,19,68,Ride on toy sedan car (Red) 1/12 scale,4,230.00,340.00,1058.00
42,20,111,Superhero action jacket (Blue) M,8,30.00,64.00,276.00
43,21,144,Halloween zombie mask (Light Brown) L,24,18.00,-24.00,496.80
44,21,121,Dinosaur battery-powered slippers (Green) XL,2,32.00,47.00,73.60
45,21,54,IT joke mug - that behavior is by design (White),3,13.00,25.50,44.85
46,22,128,Plush shark slippers (Gray) L,1,32.00,24.00,36.80
47,22,158,10 mm Double sided bubble wrap 50m,30,105.00,1470.00,3622.50
48,23,21,DBA joke mug - you might be a DBA if (Black),4,13.00,34.00,59.80
49,23,69,Ride on toy sedan car (Blue) 1/12 scale,5,230.00,425.00,1322.50
50,23,137,Animal with big feet slippers (Brown) XL,9,32.00,211.50,331.20
51,24,70,Ride on toy sedan car (Green) 1/12 scale,2,230.00,170.00,529.00
52,24,210,Packing knife with metal insert blade (Yellow) 18mm,5,2.40,6.00,13.80
53,25,35,Developer joke mug - fun was unexpected at this time (Black),5,13.00,42.50,74.75
54,25,14,USB food flash drive - fortune cookie,2,32.00,40.00,73.60
55,26,42,Developer joke mug - understanding recursion requires understanding recursion (White),1,13.00,8.50,14.95
56,27,121,Dinosaur battery-powered slippers (Green) XL,9,32.00,211.50,331.20
57,27,48,Developer joke mug - this code was generated by a tool (White),1,13.00,8.50,14.95
58,28,147,Halloween skull mask (Gray) M,12,18.00,36.00,248.40
59,28,33,Developer joke mug - that's a hardware problem (Black),4,13.00,34.00,59.80
60,28,170,20 mm Anti static bubble wrap (Blue) 50m,40,102.00,1880.00,4692.00
61,29,125,Ogre battery-powered slippers (Green) XL,4,32.00,94.00,147.20
62,29,104,Alien officer hoodie (Black) 3XL,7,35.00,126.00,281.75
63,30,60,RC toy sedan car with remote control (Blue) 1/50 scale,4,25.00,50.00,115.00
64,31,44,Developer joke mug - there are 10 types of people in the world (White),5,13.00,42.50,74.75
65,31,213,Air cushion film 200mmx100mm 325m,7,87.00,364.00,700.35
66,31,61,RC toy sedan car with remote control (Green) 1/50 scale,3,25.00,37.50,86.25
67,32,66,RC big wheel monster truck with remote control (Black) 1/50 scale,8,45.00,236.00,414.00
68,32,63,RC toy sedan car with remote control (Pink) 1/50 scale,4,25.00,50.00,115.00
69,32,125,Ogre battery-powered slippers (Green) XL,10,32.00,235.00,368.00
70,33,207,Permanent marker blue 5mm nib (Blue) 5mm,12,2.70,12.00,37.26
71,34,168,20 mm Anti static bubble wrap (Blue) 10m,10,29.00,170.00,333.50
72,34,123,Ogre battery-powered slippers (Green) M,9,32.00,216.00,331.20
73,34,2,USB rocket launcher (Gray),8,25.00,124.00,230.00
74,34,27,DBA joke mug - SELECT caffeine FROM mug (Black),1,13.00,8.50,14.95
75,34,5,USB food flash drive - hamburger,1,32.00,20.00,36.80
76,35,60,RC toy sedan car with remote control (Blue) 1/50 scale,8,25.00,100.00,230.00
77,36,133,Furry gorilla with big eyes slippers (Black) XL,1,32.00,23.50,36.80
78,36,35,Developer joke mug - fun was unexpected at this time (Black),10,13.00,85.00,149.50
79,36,134,Animal with big feet slippers (Brown) S,4,32.00,96.00,147.20
80,36,120,Dinosaur battery-powered slippers (Green) L,6,32.00,144.00,220.80
81,37,35,Developer joke mug - fun was unexpected at this time (Black),10,13.00,85.00,149.50
82,38,57,IT joke mug - hardware: part of the computer that can be kicked (Black),2,13.00,17.00,29.90
83,39,51,Developer joke mug - old C developers never die (Black),7,13.00,59.50,104.65
84,39,43,Developer joke mug - understanding recursion requires understanding recursion (Black),3,13.00,25.50,44.85
85,39,15,USB food flash drive - dessert 10 drive variety pack,1,240.00,151.50,276.00
86,40,66,RC big wheel monster truck with remote control (Black) 1/50 scale,8,45.00,236.00,414.00
87,40,120,Dinosaur battery-powered slippers (Green) L,9,32.00,216.00,331.20
88,41,112,Superhero action jacket (Blue) L,3,30.00,24.00,103.50
89,41,214,Air cushion film 200mmx200mm 325m,2,90.00,72.00,207.00
90,42,115,Superhero action jacket (Blue) 3XL,6,34.00,60.00,234.60
91,42,40,"Developer joke mug - (hip, hip, array) (White)",10,13.00,85.00,149.50
92,42,162,32 mm Double sided bubble wrap 10m,100,22.00,1210.00,2530.00
93,43,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",24,18.00,264.00,496.80
94,43,110,Superhero action jacket (Blue) S,2,25.00,12.00,57.50
95,44,71,Ride on toy sedan car (Yellow) 1/12 scale,10,230.00,850.00,2645.00
96,44,182,Shipping carton (Brown) 457x279x279mm,200,1.28,136.00,294.40
97,45,164,32 mm Double sided bubble wrap 50m,50,112.00,2650.00,6440.00
98,46,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",72,18.00,792.00,1490.40
99,46,171,32 mm Anti static bubble wrap (Blue) 10m,90,32.00,1440.00,3312.00
100,47,167,10 mm Anti static bubble wrap (Blue) 50m,50,99.00,2700.00,5692.50
101,47,219,Void fill 400 L bag (White) 400L,80,50.00,1920.00,4600.00
102,47,72,Ride on toy sedan car (Pink) 1/12 scale,9,230.00,765.00,2380.50
103,48,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",72,18.00,720.00,1490.40
104,48,151,Pack of 12 action figures (male),8,16.00,84.00,147.20
105,49,156,10 mm Double sided bubble wrap 10m,100,15.00,750.00,1725.00
106,50,209,Packing knife with metal insert blade (Yellow) 9mm,45,1.89,44.55,97.81
107,51,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",24,18.00,252.00,496.80
108,52,195,Black and orange handle with care despatch tape  48mmx75m,72,3.70,172.80,306.36
109,53,146,Halloween skull mask (Gray) S,48,18.00,144.00,993.60
110,53,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",84,18.00,924.00,1738.80
111,53,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",24,18.00,240.00,496.80
112,53,170,20 mm Anti static bubble wrap (Blue) 50m,90,102.00,4230.00,10557.00
113,54,181,Shipping carton (Brown) 356x229x229mm,75,1.14,43.50,98.33
114,55,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",84,18.00,924.00,1738.80
115,55,200,Black and yellow heavy despatch tape 48mmx100m,96,4.10,163.20,452.64
116,55,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",84,18.00,840.00,1738.80
117,56,81,"""The Gu"" red shirt XML tag t-shirt (White) L",84,18.00,924.00,1738.80
118,56,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",96,18.00,960.00,1987.20
119,57,64,RC vintage American toy coupe with remote control (Red) 1/50 scale,6,30.00,90.00,207.00
120,58,41,"Developer joke mug - (hip, hip, array) (Black)",10,13.00,85.00,149.50
121,58,54,IT joke mug - that behavior is by design (White),9,13.00,76.50,134.55
122,58,168,20 mm Anti static bubble wrap (Blue) 10m,50,29.00,850.00,1667.50
123,59,191,Black and orange fragile despatch tape 48mmx75m,288,3.70,547.20,1225.44
124,59,88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",108,18.00,1026.00,2235.60
125,59,167,10 mm Anti static bubble wrap (Blue) 50m,60,99.00,3240.00,6831.00
126,60,165,10 mm Anti static bubble wrap (Blue) 10m,70,26.00,630.00,2093.00
127,60,50,Developer joke mug - old C developers never die (White),9,13.00,76.50,134.55
128,61,7,USB food flash drive - pizza slice,2,32.00,40.00,73.60
129,62,194,Black and orange glass with care despatch tape  48mmx100m,168,4.10,352.80,792.12
130,63,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",72,18.00,792.00,1490.40
131,64,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",36,18.00,360.00,745.20
132,65,198,Black and orange this way up despatch tape  48mmx100m,72,4.10,154.80,339.48
133,65,202,Red and white urgent  heavy despatch tape  48mmx100m,96,4.10,196.80,452.64
134,65,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",48,18.00,480.00,993.60
135,65,197,Black and orange this way up despatch tape 48mmx75m,96,3.70,192.00,408.48
136,66,163,32 mm Double sided bubble wrap 20m,50,37.00,1150.00,2127.50
137,67,167,10 mm Anti static bubble wrap (Blue) 50m,50,99.00,2700.00,5692.50
138,68,85,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",48,18.00,480.00,993.60
139,69,138,Furry animal socks (Pink) S,120,5.00,420.00,690.00
140,70,191,Black and orange fragile despatch tape 48mmx75m,144,3.70,273.60,612.72
141,70,55,IT joke mug - that behavior is by design (Black),3,13.00,25.50,44.85
142,71,109,Superhero action jacket (Blue) XS,7,25.00,42.00,201.25
143,71,18,DBA joke mug - daaaaaa-ta (White),7,13.00,59.50,104.65
144,72,210,Packing knife with metal insert blade (Yellow) 18mm,45,2.40,54.00,124.20
145,72,197,Black and orange this way up despatch tape 48mmx75m,96,3.70,192.00,408.48
146,73,162,32 mm Double sided bubble wrap 10m,40,22.00,484.00,1012.00
147,73,141,Furry animal socks (Pink) XL,108,5.00,378.00,621.00
148,74,183,Shipping carton (Brown) 480x270x320mm,100,2.74,154.00,315.10
149,75,147,Halloween skull mask (Gray) M,60,18.00,180.00,1242.00
150,76,170,20 mm Anti static bubble wrap (Blue) 50m,30,102.00,1410.00,3519.00
151,76,172,32 mm Anti static bubble wrap (Blue) 20m,70,48.00,1750.00,3864.00
152,77,172,32 mm Anti static bubble wrap (Blue) 20m,90,48.00,2250.00,4968.00
153,77,148,Halloween skull mask (Gray) L,36,18.00,108.00,745.20
154,78,165,10 mm Anti static bubble wrap (Blue) 10m,40,26.00,360.00,1196.00
155,78,80,"""The Gu"" red shirt XML tag t-shirt (White) M",12,18.00,132.00,248.40
156,78,166,10 mm Anti static bubble wrap (Blue) 20m,90,42.00,1710.00,4347.00
157,79,138,Furry animal socks (Pink) S,84,5.00,294.00,483.00
158,80,214,Air cushion film 200mmx200mm 325m,10,90.00,360.00,1035.00
159,80,36,Developer joke mug - when your hammer is C++ (White),6,13.00,51.00,89.70
160,80,118,Dinosaur battery-powered slippers (Green) S,5,32.00,120.00,184.00
161,81,120,Dinosaur battery-powered slippers (Green) L,8,32.00,192.00,294.40
162,81,112,Superhero action jacket (Blue) L,4,30.00,32.00,138.00
163,82,30,Developer joke mug - Oct 31 = Dec 25 (White),9,13.00,76.50,134.55
164,82,46,Developer joke mug - a foo walks into a bar (White),9,13.00,76.50,134.55
165,83,172,32 mm Anti static bubble wrap (Blue) 20m,100,48.00,2500.00,5520.00
166,83,148,Halloween skull mask (Gray) L,72,18.00,216.00,1490.40
167,83,28,DBA joke mug - two types of DBAs (White),2,13.00,17.00,29.90
168,83,194,Black and orange glass with care despatch tape  48mmx100m,24,4.10,50.40,113.16
169,84,130,Furry gorilla with big eyes slippers (Black) S,8,32.00,192.00,294.40
170,84,22,DBA joke mug - it depends (White),4,13.00,34.00,59.80
171,85,23,DBA joke mug - it depends (Black),9,13.00,76.50,134.55
172,85,200,Black and yellow heavy despatch tape 48mmx100m,144,4.10,244.80,678.96
173,86,145,Halloween zombie mask (Light Brown) XL,72,18.00,-72.00,1490.40
174,86,60,RC toy sedan car with remote control (Blue) 1/50 scale,6,25.00,75.00,172.50
175,87,148,Halloween skull mask (Gray) L,84,18.00,252.00,1738.80
176,87,126,Plush shark slippers (Gray) S,10,32.00,240.00,368.00
177,88,208,Permanent marker red 5mm nib (Red) 5mm,36,2.70,36.00,111.78
178,88,23,DBA joke mug - it depends (Black),9,13.00,76.50,134.55
179,88,71,Ride on toy sedan car (Yellow) 1/12 scale,4,230.00,340.00,1058.00
180,89,129,Plush shark slippers (Gray) XL,6,32.00,141.00,220.80
181,89,58,RC toy sedan car with remote control (Black) 1/50 scale,10,25.00,125.00,287.50
182,89,33,Developer joke mug - that's a hardware problem (Black),10,13.00,85.00,149.50
183,90,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",60,18.00,660.00,1242.00
184,90,50,Developer joke mug - old C developers never die (White),4,13.00,34.00,59.80
185,90,184,Shipping carton (Brown) 305x305x305mm,75,3.50,120.00,301.88
186,90,128,Plush shark slippers (Gray) L,4,32.00,96.00,147.20
187,91,118,Dinosaur battery-powered slippers (Green) S,1,32.00,24.00,36.80
188,91,88,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",108,18.00,1026.00,2235.60
189,91,63,RC toy sedan car with remote control (Pink) 1/50 scale,8,25.00,100.00,230.00
190,92,36,Developer joke mug - when your hammer is C++ (White),4,13.00,34.00,59.80
191,92,29,DBA joke mug - two types of DBAs (Black),4,13.00,34.00,59.80
192,93,33,Developer joke mug - that's a hardware problem (Black),8,13.00,68.00,119.60
193,93,121,Dinosaur battery-powered slippers (Green) XL,7,32.00,164.50,257.60
194,93,128,Plush shark slippers (Gray) L,8,32.00,192.00,294.40
195,94,23,DBA joke mug - it depends (Black),10,13.00,85.00,149.50
196,94,142,Halloween zombie mask (Light Brown) S,12,18.00,-12.00,248.40
197,95,55,IT joke mug - that behavior is by design (Black),5,13.00,42.50,74.75
198,95,191,Black and orange fragile despatch tape 48mmx75m,252,3.70,478.80,1072.26
199,95,16,DBA joke mug - mind if I join you? (White),1,13.00,8.50,14.95
200,95,117,Superhero action jacket (Blue) 5XL,7,34.00,70.00,273.70
201,95,168,20 mm Anti static bubble wrap (Blue) 10m,50,29.00,850.00,1667.50
202,96,24,DBA joke mug - I will get you in order (White),1,13.00,8.50,14.95
203,96,57,IT joke mug - hardware: part of the computer that can be kicked (Black),6,13.00,51.00,89.70
204,96,28,DBA joke mug - two types of DBAs (White),8,13.00,68.00,119.60
205,96,129,Plush shark slippers (Gray) XL,1,32.00,23.50,36.80
206,96,126,Plush shark slippers (Gray) S,7,32.00,168.00,257.60
207,97,18,DBA joke mug - daaaaaa-ta (White),10,13.00,85.00,149.50
208,97,55,IT joke mug - that behavior is by design (Black),4,13.00,34.00,59.80
209,98,115,Superhero action jacket (Blue) 3XL,5,34.00,50.00,195.50
210,98,48,Developer joke mug - this code was generated by a tool (White),10,13.00,85.00,149.50
211,99,38,Developer joke mug - inheritance is the OO way to become wealthy (White),7,13.00,59.50,104.65
212,99,42,Developer joke mug - understanding recursion requires understanding recursion (White),4,13.00,34.00,59.80
213,99,49,Developer joke mug - this code was generated by a tool (Black),10,13.00,85.00,149.50
214,100,48,Developer joke mug - this code was generated by a tool (White),6,13.00,51.00,89.70
215,101,136,Animal with big feet slippers (Brown) L,9,32.00,216.00,331.20
216,101,213,Air cushion film 200mmx100mm 325m,5,87.00,260.00,500.25
217,102,29,DBA joke mug - two types of DBAs (Black),4,13.00,34.00,59.80
218,102,206,Permanent marker black 5mm nib (Black) 5mm,24,2.70,24.00,74.52
219,102,1,USB missile launcher (Green),10,25.00,155.00,287.50
220,103,126,Plush shark slippers (Gray) S,5,32.00,120.00,184.00
221,103,112,Superhero action jacket (Blue) L,3,30.00,24.00,103.50
222,103,9,USB food flash drive - banana,3,32.00,60.00,110.40
223,103,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",48,18.00,528.00,993.60
224,104,133,Furry gorilla with big eyes slippers (Black) XL,1,32.00,23.50,36.80
225,104,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",108,18.00,1080.00,2235.60
