OrderID,CustomerID,OrderDate,ExpectedDeliveryDate,CustomerPurchaseOrderNumber,IsUndersupplyBackordered,PickingCompletedWhen
1,832,2013-01-01,2013-01-02,12126,1,2013-01-01 12:00:00.0000000
2,803,2013-01-01,2013-01-02,15342,1,2013-01-01 12:00:00.0000000
3,105,2013-01-01,2013-01-02,12211,1,2013-01-01 12:00:00.0000000
4,57,2013-01-01,2013-01-02,17129,1,2013-01-01 11:00:00.0000000
5,905,2013-01-01,2013-01-02,10369,1,2013-01-01 12:00:00.0000000
6,976,2013-01-01,2013-01-02,13383,1,2013-01-01 11:00:00.0000000
7,575,2013-01-01,2013-01-02,17913,1,2013-01-01 12:00:00.0000000
8,964,2013-01-01,2013-01-02,14518,1,2013-01-01 12:00:00.0000000
9,77,2013-01-01,2013-01-02,17577,1,2013-01-01 12:00:00.0000000
10,191,2013-01-01,2013-01-02,18030,1,2013-01-01 12:00:00.0000000
11,586,2013-01-01,2013-01-02,17639,1,2013-01-01 12:00:00.0000000
12,529,2013-01-01,2013-01-02,10941,1,2013-01-01 12:00:00.0000000
13,473,2013-01-01,2013-01-02,16374,1,2013-01-01 12:00:00.0000000
14,870,2013-01-01,2013-01-02,17521,1,2013-01-01 12:00:00.0000000
15,991,2013-01-01,2013-01-02,11911,1,2013-01-01 11:00:00.0000000
16,414,2013-01-01,2013-01-02,10690,1,2013-01-01 12:00:00.0000000
17,910,2013-01-01,2013-01-02,10255,1,2013-01-01 12:00:00.0000000
18,423,2013-01-01,2013-01-02,13260,1,2013-01-02 11:00:00.0000000
19,949,2013-01-01,2013-01-02,16825,1,2013-01-01 12:00:00.0000000
20,973,2013-01-01,2013-01-02,12227,1,2013-01-01 12:00:00.0000000
21,463,2013-01-01,2013-01-02,16070,1,2013-01-02 11:00:00.0000000
22,884,2013-01-01,2013-01-02,16793,1,2013-01-01 12:00:00.0000000
23,173,2013-01-01,2013-01-02,12467,1,2013-01-01 12:00:00.0000000
24,890,2013-01-01,2013-01-02,13700,1,2013-01-01 11:00:00.0000000
25,189,2013-01-01,2013-01-02,11503,1,2013-01-01 12:00:00.0000000
26,873,2013-01-01,2013-01-02,13916,1,2013-01-01 11:00:00.0000000
27,497,2013-01-01,2013-01-02,17783,1,2013-01-01 12:00:00.0000000
28,484,2013-01-01,2013-01-02,13042,1,2013-01-01 12:00:00.0000000
29,89,2013-01-01,2013-01-02,10411,1,2013-01-01 12:00:00.0000000
30,148,2013-01-01,2013-01-02,15084,1,2013-01-01 12:00:00.0000000
31,467,2013-01-01,2013-01-02,14159,1,2013-01-02 11:00:00.0000000
32,972,2013-01-01,2013-01-02,11389,1,2013-01-01 12:00:00.0000000
33,567,2013-01-01,2013-01-02,12559,1,2013-01-01 12:00:00.0000000
34,92,2013-01-01,2013-01-02,19457,1,2013-01-01 12:00:00.0000000
35,811,2013-01-01,2013-01-02,18468,1,2013-01-01 12:00:00.0000000
36,10,2013-01-01,2013-01-02,14486,1,2013-01-01 12:00:00.0000000
37,862,2013-01-01,2013-01-02,19057,1,2013-01-01 11:00:00.0000000
38,431,2013-01-01,2013-01-02,18036,1,2013-01-01 12:00:00.0000000
39,908,2013-01-01,2013-01-02,13079,1,2013-01-01 12:00:00.0000000
40,995,2013-01-01,2013-01-02,19402,1,2013-01-01 12:00:00.0000000
41,910,2013-01-01,2013-01-02,15267,1,2013-01-01 12:00:00.0000000
42,545,2013-01-01,2013-01-02,12781,1,2013-01-01 12:00:00.0000000
43,1000,2013-01-01,2013-01-02,17334,1,2013-01-01 12:00:00.0000000
44,415,2013-01-01,2013-01-02,16645,1,2013-01-01 12:00:00.0000000
45,832,2013-01-01,2013-01-02,12126,1,2013-01-02 11:00:00.0000000
46,803,2013-01-01,2013-01-02,15342,1,2013-01-02 11:00:00.0000000
47,105,2013-01-01,2013-01-02,12211,1,2013-01-02 11:00:00.0000000
48,905,2013-01-01,2013-01-02,10369,1,2013-01-02 11:00:00.0000000
49,575,2013-01-01,2013-01-02,17913,1,2013-01-02 11:00:00.0000000
50,964,2013-01-01,2013-01-02,14518,1,2013-01-02 11:00:00.0000000
51,77,2013-01-01,2013-01-02,17577,1,2013-01-02 11:00:00.0000000
52,191,2013-01-01,2013-01-02,18030,1,2013-01-02 11:00:00.0000000
53,586,2013-01-01,2013-01-02,17639,1,2013-01-02 11:00:00.0000000
