StockItemTransactionID,StockItemID,CustomerID,InvoiceID,TransactionOccurredWhen,Quantity
6293,213,28,1325,2013-01-26 12:00:00.0000000,-10.000
6304,10,183,1329,2013-01-26 12:00:00.0000000,-10.000
6311,161,565,1331,2013-01-26 12:00:00.0000000,-10.000
6312,64,565,1331,2013-01-26 12:00:00.0000000,-10.000
6337,61,407,1336,2013-01-26 12:00:00.0000000,-10.000
6338,51,407,1336,2013-01-26 12:00:00.0000000,-10.000
6344,171,66,1338,2013-01-26 12:00:00.0000000,-10.000
6364,39,26,1343,2013-01-26 12:00:00.0000000,-10.000
6380,157,830,1347,2013-01-26 12:00:00.0000000,-10.000
6425,173,155,1356,2013-01-26 12:00:00.0000000,-10.000
6484,116,136,1364,2013-01-28 12:00:00.0000000,-10.000
6488,173,8,1365,2013-01-28 12:00:00.0000000,-10.000
6501,116,152,1367,2013-01-28 12:00:00.0000000,-10.000
6502,32,152,1367,2013-01-28 12:00:00.0000000,-10.000
6511,70,80,1369,2013-01-28 12:00:00.0000000,-10.000
6516,48,587,1370,2013-01-28 12:00:00.0000000,-10.000
6539,218,949,1375,2013-01-28 12:00:00.0000000,-10.000
6577,63,497,1383,2013-01-28 12:00:00.0000000,-10.000
6579,36,957,1384,2013-01-28 12:00:00.0000000,-10.000
6605,122,573,1390,2013-01-28 12:00:00.0000000,-10.000
6657,169,852,1401,2013-01-28 12:00:00.0000000,-10.000
6658,42,852,1401,2013-01-28 12:00:00.0000000,-10.000
6682,163,116,1406,2013-01-28 12:00:00.0000000,-10.000
6701,161,527,1410,2013-01-28 12:00:00.0000000,-10.000
6714,211,427,1413,2013-01-28 12:00:00.0000000,-10.000
20792,217,585,4325,2013-03-29 12:00:00.0000000,-10.000
20821,17,531,4333,2013-03-29 12:00:00.0000000,-10.000
20824,38,531,4333,2013-03-29 12:00:00.0000000,-10.000
20857,63,32,4341,2013-03-29 12:00:00.0000000,-10.000
20875,164,502,4345,2013-03-29 12:00:00.0000000,-10.000
20905,215,410,4352,2013-03-29 12:00:00.0000000,-10.000
20913,56,937,4354,2013-03-29 12:00:00.0000000,-10.000
20915,23,937,4354,2013-03-29 12:00:00.0000000,-10.000
20938,66,89,4360,2013-03-29 12:00:00.0000000,-10.000
20941,217,7,4361,2013-03-29 12:00:00.0000000,-10.000
20947,7,88,4362,2013-03-29 12:00:00.0000000,-10.000
20957,110,905,4364,2013-03-29 12:00:00.0000000,-10.000
24405,30,77,5098,2013-04-13 12:00:00.0000000,-10.000
24431,46,126,5103,2013-04-13 12:00:00.0000000,-10.000
24432,44,126,5103,2013-04-13 12:00:00.0000000,-10.000
24443,7,141,5106,2013-04-13 12:00:00.0000000,-10.000
24446,44,149,5107,2013-04-13 12:00:00.0000000,-10.000
24466,136,503,5111,2013-04-13 12:00:00.0000000,-10.000
24477,23,552,5114,2013-04-13 12:00:00.0000000,-10.000
24499,41,829,5118,2013-04-13 12:00:00.0000000,-10.000
24503,12,837,5119,2013-04-13 12:00:00.0000000,-10.000
24507,40,851,5120,2013-04-13 12:00:00.0000000,-10.000
24529,52,872,5125,2013-04-13 12:00:00.0000000,-10.000
24543,205,962,5128,2013-04-13 12:00:00.0000000,-10.000
28783,204,537,6021,2013-05-01 12:00:00.0000000,-10.000
28791,165,146,6024,2013-05-01 12:00:00.0000000,-10.000
28838,155,1001,6035,2013-05-01 12:00:00.0000000,-10.000
28844,75,812,6036,2013-05-01 12:00:00.0000000,-10.000
28854,118,890,6039,2013-05-01 12:00:00.0000000,-10.000
28860,7,975,6040,2013-05-01 12:00:00.0000000,-10.000
28885,166,127,6045,2013-05-01 12:00:00.0000000,-10.000
28892,10,427,6046,2013-05-01 12:00:00.0000000,-10.000
28893,215,427,6046,2013-05-01 12:00:00.0000000,-10.000
28925,20,499,6054,2013-05-01 12:00:00.0000000,-10.000
28926,152,499,6054,2013-05-01 12:00:00.0000000,-10.000
28942,34,585,6057,2013-05-01 12:00:00.0000000,-10.000
28982,64,557,6065,2013-05-01 12:00:00.0000000,-10.000
28993,161,439,6068,2013-05-01 12:00:00.0000000,-10.000
35644,52,18,7465,2013-05-28 12:00:00.0000000,-10.000
35647,108,29,7466,2013-05-28 12:00:00.0000000,-10.000
35672,47,99,7472,2013-05-28 12:00:00.0000000,-10.000
35715,150,151,7481,2013-05-28 12:00:00.0000000,-10.000
35717,46,151,7481,2013-05-28 12:00:00.0000000,-10.000
35746,48,401,7488,2013-05-28 12:00:00.0000000,-10.000
35782,213,461,7496,2013-05-28 12:00:00.0000000,-10.000
35793,212,470,7498,2013-05-28 12:00:00.0000000,-10.000
35801,211,471,7499,2013-05-28 12:00:00.0000000,-10.000
35828,107,515,7505,2013-05-28 12:00:00.0000000,-10.000
35869,161,569,7514,2013-05-28 12:00:00.0000000,-10.000
35920,219,900,7527,2013-05-28 12:00:00.0000000,-10.000
35952,120,962,7535,2013-05-28 12:00:00.0000000,-10.000
35962,40,968,7537,2013-05-28 12:00:00.0000000,-10.000
35970,31,972,7539,2013-05-28 12:00:00.0000000,-10.000
35976,9,983,7540,2013-05-28 12:00:00.0000000,-10.000
35984,137,990,7542,2013-05-28 12:00:00.0000000,-10.000
44524,106,807,9330,2013-06-29 12:00:00.0000000,-10.000
44528,14,942,9331,2013-06-29 12:00:00.0000000,-10.000
44529,212,942,9331,2013-06-29 12:00:00.0000000,-10.000
44540,133,876,9333,2013-06-29 12:00:00.0000000,-10.000
44567,175,201,9339,2013-06-29 12:00:00.0000000,-10.000
44590,135,820,9343,2013-06-29 12:00:00.0000000,-10.000
44618,164,493,9349,2013-06-29 12:00:00.0000000,-10.000
44636,40,437,9352,2013-06-29 12:00:00.0000000,-10.000
44646,51,32,9355,2013-06-29 12:00:00.0000000,-10.000
44658,48,510,9357,2013-06-29 12:00:00.0000000,-10.000
44666,150,958,9359,2013-06-29 12:00:00.0000000,-10.000
45875,65,36,9613,2013-07-04 12:00:00.0000000,-10.000
45903,68,829,9619,2013-07-04 12:00:00.0000000,-10.000
45948,205,542,9632,2013-07-04 12:00:00.0000000,-10.000
45991,217,879,9641,2013-07-04 12:00:00.0000000,-10.000
