CustomerTransactionID,CustomerID,InvoiceID,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized
2,832,1,2013-01-01,2300.00,345.00,2645.00,0.00,2013-01-02,1
5,803,2,2013-01-01,405.00,60.75,465.75,0.00,2013-01-02,1
7,1,3,2013-01-01,90.00,13.50,103.50,0.00,2013-01-02,1
11,1,4,2013-01-01,445.20,66.78,511.98,0.00,2013-01-02,1
15,905,5,2013-01-01,704.00,105.60,809.60,0.00,2013-01-02,1
19,976,6,2013-01-01,430.00,64.50,494.50,0.00,2013-01-02,1
24,401,7,2013-01-01,603.50,90.53,694.03,0.00,2013-01-02,1
28,964,8,2013-01-01,258.00,38.70,296.70,0.00,2013-01-02,1
31,1,9,2013-01-01,178.00,26.70,204.70,0.00,2013-01-02,1
34,1,10,2013-01-01,104.00,15.60,119.60,0.00,2013-01-02,1
36,401,11,2013-01-01,13.00,1.95,14.95,0.00,2013-01-02,1
39,401,12,2013-01-01,229.00,34.35,263.35,0.00,2013-01-02,1
42,401,13,2013-01-01,2430.00,364.50,2794.50,0.00,2013-01-02,1
46,870,14,2013-01-01,650.00,97.50,747.50,0.00,2013-01-02,1
49,991,15,2013-01-01,174.00,26.10,200.10,0.00,2013-01-02,1
51,401,16,2013-01-01,68.00,10.20,78.20,0.00,2013-01-02,1
54,910,17,2013-01-01,424.00,63.60,487.60,0.00,2013-01-02,1
56,949,18,2013-01-01,91.00,13.65,104.65,0.00,2013-01-02,1
60,973,19,2013-01-01,3185.00,477.75,3662.75,0.00,2013-01-02,1
62,884,20,2013-01-01,240.00,36.00,276.00,0.00,2013-01-02,1
66,1,21,2013-01-01,535.00,80.25,615.25,0.00,2013-01-02,1
69,890,22,2013-01-01,3182.00,477.30,3659.30,0.00,2013-01-02,1
73,1,23,2013-01-01,1490.00,223.50,1713.50,0.00,2013-01-02,1
76,873,24,2013-01-01,472.00,70.80,542.80,0.00,2013-01-02,1
79,401,25,2013-01-01,129.00,19.35,148.35,0.00,2013-01-02,1
81,401,26,2013-01-01,13.00,1.95,14.95,0.00,2013-01-02,1
