OrderLineID,OrderID,StockItemID,Description,Quantity,UnitPrice,PickedQuantity,PickingCompletedWhen
1,45,164,32 mm Double sided bubble wrap 50m,50,112.00,50,2013-01-02 11:00:00.0000000
2,1,67,Ride on toy sedan car (Black) 1/12 scale,10,230.00,10,2013-01-01 11:00:00.0000000
3,2,50,Developer joke mug - old C developers never die (White),9,13.00,9,2013-01-01 11:00:00.0000000
4,46,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",72,18.00,72,2013-01-02 11:00:00.0000000
5,46,171,32 mm Anti static bubble wrap (Blue) 10m,90,32.00,90,2013-01-02 11:00:00.0000000
6,2,10,USB food flash drive - chocolate bar,9,32.00,9,2013-01-01 11:00:00.0000000
7,47,167,10 mm Anti static bubble wrap (Blue) 50m,50,99.00,50,2013-01-02 11:00:00.0000000
8,47,219,Void fill 400 L bag (White) 400L,80,50.00,80,2013-01-02 11:00:00.0000000
9,3,114,Superhero action jacket (Blue) XXL,3,30.00,3,2013-01-01 11:00:00.0000000
10,47,72,Ride on toy sedan car (Pink) 1/12 scale,9,230.00,9,2013-01-02 11:00:00.0000000
11,4,206,Permanent marker black 5mm nib (Black) 5mm,96,2.70,96,2013-01-01 11:00:00.0000000
12,4,130,Furry gorilla with big eyes slippers (Black) S,5,32.00,5,2013-01-01 11:00:00.0000000
13,4,50,Developer joke mug - old C developers never die (White),2,13.00,2,2013-01-01 11:00:00.0000000
14,5,128,Plush shark slippers (Gray) L,4,32.00,4,2013-01-01 11:00:00.0000000
15,48,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",72,18.00,72,2013-01-02 11:00:00.0000000
16,48,151,Pack of 12 action figures (male),8,16.00,8,2013-01-02 11:00:00.0000000
17,5,121,Dinosaur battery-powered slippers (Green) XL,3,32.00,3,2013-01-01 11:00:00.0000000
18,5,155,Large sized bubblewrap roll 50m,20,24.00,20,2013-01-01 11:00:00.0000000
19,6,150,Pack of 12 action figures (variety),4,16.00,4,2013-01-01 11:00:00.0000000
20,6,40,"Developer joke mug - (hip, hip, array) (White)",6,13.00,6,2013-01-01 11:00:00.0000000
21,6,126,Plush shark slippers (Gray) S,9,32.00,9,2013-01-01 11:00:00.0000000
22,7,39,Developer joke mug - inheritance is the OO way to become wealthy (Black),9,13.00,9,2013-01-01 11:00:00.0000000
23,7,184,Shipping carton (Brown) 305x305x305mm,75,3.50,75,2013-01-01 11:00:00.0000000
24,7,9,USB food flash drive - banana,6,32.00,6,2013-01-01 11:00:00.0000000
25,49,156,10 mm Double sided bubble wrap 10m,100,15.00,100,2013-01-02 11:00:00.0000000
26,7,132,Furry gorilla with big eyes slippers (Black) L,1,32.00,1,2013-01-01 11:00:00.0000000
